Номер;КОЛ-ВО;Обзорное описание изданий;Примечания
коробки;экз. в коробке;(Название, год и номера или подшивки);
;;;
;;;
5004;9;Советский экран 1927 № 1-25, 26-28/35-37-52, ;Евдокимова Л. В., Чевычалова С.Н.
;;Советский экран 1928 № 18-19-21-39-41-43-46-48-49-51-52, 1-22, 23-52, ;
;;Советский экран 1929№ 1-23, 24-45,;
;;Выкройки из журнала Ателье 2003-2018, Журнала мод 1956-2004;
;;Выкройки из журнала «мода» 1986 № 1,2,3, 1987 №4 «Мода спорт» 1987 №29, «Стиль» 1991 № 2,3,4, «Мода стран социализма» 1967,1969, 1985,1986, «Модели детской одежды» 1989 №1, «Модели сезона» 1958 №1,2, 1961 №1, 1986 №1, 2003 №2, «Нива к Парижским моделям» 1908 №1, «Практичная мода» 1991 №3, «RIGAS MODES» 1985 №лето, 1987 № весна, «SILUETT» 1985 № 1,3 1989 № 1,2,3,;
5005;46;Советский экран 1926 № 27-32/34-52;Евдокимова Л. В., Чевычалова С.Н.
;;Советский экран 1929 № 1-32-37, ;
;;Советский экран 1957 № 1-12, 13-24, ;
;;Советский экран 1958 № 1-6, 7-12, 13-18, 19-24,;
;;Советский экран 1959 № 1-12, 13-24, ;
;;Советский экран 1978 № 1-6, 7-12, 13-24, ;
;;Советский экран 1979 № 1-6, 13-18, 19-24, ;
;;Советский экран 1980 № 19-24, 1-6, 7-18, ;
;;Советский экран 1981 № 1-12;
;;Современная библиотека 2019 № 2,9,8,5,6,7,;
;;Современная библиотека 2020 № 1,2,3, 4,5, 6, 7, 8, 9, 10, ;
;;Современная библиотека 2021 № 1, 2, 3, 4, 5, 6, 7, 8,9, 10;
;;;
5006;58;Советский экран 1982 № 7-12, 13-18, 19-24, ;Евдокимова Л. В., Чевычалова С.Н.
;;Советский экран 1983 № 1-12, 1-12, 13-24, 13-18, ;
;;Советский экран 1981 № 13-18, 19-24, ;
;;Советский экран 1984 № 1-6, 7-12, 13-18, 19-24,;
;;Советский экран 1985 № 1-6, 7-12, 13-24, ;
;;Советский экран 1986 №1-12, 13-24,;
;;Советский экран 1987 № 1-12, 13-18, 19-24, ;
;;Советский экран 1988 № 1-6, 7-12, ;
;;Советское радио и телевидение 1970 № 1-12;
;;Советское фото 1926 № 2, 3, 4, 9, 5, 6, 7, 8, ;
;;Советское фото 1927 № 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, ;
;;Советское фото 1929 № 1, 2, 3, 4,;
;;Советское фото 1985 № 4,5,  1988 № 1, 2, 4, 5, 6, 7, 9, 1 , 12;
5007;68;Современная библиотека 2022 № 1,2,3,4,5,6,7,8,9,10,;Евдокимова Л. В., Чевычалова С.Н.
;;Современная библиотека 2023 № 1,2,3,5,;
;;Современная летопись 1863 № 1-46, 1867/1868/1869, ;
;;Современная музыка 1924/1925/1926/1927/1928/1929;
;;Современные тенденции изобразительного и декоративно-прикладного искусств и дизайна ;
;;2017 №2, 2018 № 2, 2019 № 1, 2021 № 2,;
;;Современная драматургия 1987 № 2, 1991 № 4, 1994 № 4, 1996 № 2, 2012 № 2, 2015 № 1, 2, 3, 4, ;
;;2016 № 1, 2, 3, 4, 2017 № 1, 2, 3, 3, 4, 2018 № 4, ;
;;Станиславский 2006 № 1, 3, 2, ;
;;Станиславский 2007 № 1, 2, 3, 4, 5, 6, 9, 10;
;;Станиславский 2007/08 № 12/1;
;;Станиславский 2010 № ?, 2011 № ?, 2012 № ?, ;
;;Современный запад 1922 № 1, 1923 № 4,;
;;Современные эстрадные танцы 2001 № 1, 1,2, 2002 № 3, 4, 5, 6/7, 8/10, 2003 № 1, 4, 2004 №1,;
5008;107;Современный репертуар 1905 № 5-9-15-20-27, № 27 прил., 27 прил.,;Евдокимова Л. В., Чевычалова С.Н.
;;Современный театр и музыка 1903 № 15, ;
;;Современный театр 1927 № 1,2, 3, 4, 5, 6, 7, 8, 9,10, 11, 12, 13, 14, 15, 16, 17, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 15, ;
;;Современный театр 1927 № 1-17, ;
;;Современный театр 1928 № 1-52, 1-23, 24-52, 50, 12, 8, 10, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 46, 26/27, 28/29, 30/31, 32/33, 34/35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 52, ;
;;Современный театр 1928 № 24-25, ;
;;Современный театр 1929 № 21-43, 26-43, 1-25, 1-20, 1-25, 26-43, 38, ;
;;Содружество искусств 2019 №1, ;
;;София 1914 № 2, 3, 1, 1, 2, 4, 5, 6, 1-3, 4-6, ;
5009;65;Справочник музыкального руководителя 2019 № 12, ;Евдокимова Л. В., Чевычалова С.Н.
;;Спутник 2023 №2, ;
;;Спутник артиста 1909 № 1,;
;;Среди коллекционеров 2010 № 1, 2011 №1, 2, 4, 3, 2012 № 1, 2, 3, 4, 2013 № 1, 2, 2014 № ?, ?, ;
;;Спутник кинофестиваля 1989 № 1, б/н, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12,;
;;Спутник кинофестиваля 1997 № 1, 2, 3, 4, 5,;
;;Старинная музыка 1998 № 1-2/ 1999 № ?;
;;Старинная музыка 2000 № 1-4, ;
;;2001 № 1-4,  2002 № 1-4, ;
;;2003 № 1-4/ 2004 №1-4 ;
;;2005 № 1-4/ 2006 1-4;
;;2007 № 1-4/ 2008 1-2;
;;2009 № 1-4, 2010 № 1-4;
;;2011 № 1-4, 2012 № 1-4, ;
;;2013 № 2-4, 2014 № 1-4, ;
;;2015 № 1-4, 2016 № 1-4, ;
;;2017 № 1-4, 2018 № 1-4, ;
;;2019 № 1-4, 2020 № 1,2, 3, 4,  2021 № 1, 2, 3, 4,  2022 № 1, 2, 3, 4, 2023 № 1;
5010;20;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Экран и сцена 2018 № 1-24, 1-24;
;;2017 № 1-24, 1-24;
;;2016 № 1-8-11-12-14-24, 1-24, 9, 10, 13, ;
;;2015№ 1-24, 21-24, ;
;;2008 № 1-3,6   ;
;;2009 №1-6, ;
;;2014 №1-24, 1-11-13-24, ;
;;2013 № 1-24 ;
;;2012 № 1-24;
;;2011 № 1-24 ;
;;2022 № 1-24;
;;;
;;;
5011;17;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Театральные ведомости 2007 № 1-9, 2006 № 10, 1-3-5-9-10-11-12;
;;Театральное обозрение 1922 №1-11;
;;Театральная газета;
;; 1917 № 1-27,;
;; 1916 № 1-52, 52, 1-26, 34-50, 27-52, 18-33, 1-3-5-13-15-17, 14, ;
;;1914/1915 (папка), 1915 № 1-26;
;;Экран и сцена 2022 № 1-24, 2021 № 1-24, ;
;;Территория культуры 2006 № 9, ;
;;;
5012;19;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Театральные ведомости 2005 № 1-12, 2003 № 11/ 2004 № 1-6-8-12,;
;;2003 № 2-10, 2001 № 7-12 / 2002 № 1-12, ;
;;Театральная газета 1917 № 1-20-23-25-27,;
;;1918 № 1-7-10-12-13-15-16-18-22-25-29-33-38, 1-5-10-40;
;;1917 № 18-52, 1-4-9-13-15-25, 23-42-44-48-50-52;
;;1915 № 41-52, 33, 27-40, 27-37-39-43-45-52, 2-5-14-18-26;
;;1913 № 2-3-10-13, ;
;;1914 № 1-26;
;;Экран и сцена 2020 № 1-5-8-21-23-24, 2019 № 1-24, 2010 № 1-16;
;;;
5013;19;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Художники России 2013 № 1, 2009 №1, 2006 № 1-14-9-22, ;
;;Экран и сцена 2006 №1-30, 2005 № 1-46, 2004 № 1-44, 1-44, 2003 №1-38, 2002 №1-44, 2001 №25-48, 1-24, 1998 № 1-52, 1999 № 26-52, 2000 № 1-22, ;
;;Cinemotion_Lab 2010 № 15, 2011 № 19, ;
;;Cinemotion 2013 № 37,38,41;
;;;
5014;19;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Театральная газета 1997 № 3-5, ;
;;Художники России 2004/ 2005 22-24-1;
;;Экран и сцена 2000 № 23-50, 2001 № 1-24, 2020 № 1-24, 2019 № 1-24, 2009 № 7-22-24, ;
;;2007 № 1-16/17-20/21-24/25-30/31-36-42/43, 2008 №18/19, 1993 № 37-52, 1999 №1-25, ;
;;1997 № 1-52, 1996/97 № 51/52, 1994 № 25-52, 1-24, ;
;;Музыкальная газета 2007 № 8-24;
;;Музыкальный клондайк 2019 № 9, 2020 № 1, 2,;
;;;
5015;16;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Экран и сцена 1996 № 1-35-38-50, 1995 № 261-312, 1992 № 1-25, 1991 № 2-14, 27-30, 16-37, ;
;;Музыкальная газета 2007 № 1-7, 2006 № 1-49, 2004 № 1-24, 2003 № 1-24, ;
;;Московский художник 1966 № 16-37—31-38-39- 47, 1963 № 3,4,5, ;
;;Художники России 1998 № 5/6/2001 №1-11/ 2002 № 16-24/ 2003 № 1-14-17-22;
;;2004 № 1-24, ;
;;;
5016;62;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Kolnifche illustrierte zeitung 1929 №20;
;;American dress maker 1912 № 8;
;;Pour Vous 1939 № 555 5 июля;
;;Rendez Vous 1959 № 20-25;
;;Supremus 2001 № 7, 1999 №6, ;
;;The art newspaper Russia 2021 № (17 шт.),  2019/20 № (24 шт.);
;;2020 № 1-8-10, 2014 № 1-6, 2017 № 1-5, 2016 № 6-10, 1-5, 2015 № 1-5, 2013 №1-5, 6-10, 2012 № 7-8/9, ;
;;Украиньска культура и життя (укр) 2009 № 34,36,37,38,39,49/50,51/52;
5017;24;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Московский художник 1978;
;;1984 № 1-52, 1985 № 1-52, 1983 № 1-52, 1982 № 1-52, 1979 № 1-48, 1990 №1-50, 1989 №1-50, 1988 № 1-51, 1987 № 1-52, 1986 № 1-51, 1994 № 1-6-8-13-15/16-17/18, 1992 № 4-52, 1993 № 1-52, 1991 № 1-12,16-26, Музыкальный клондайк 2004 № 1-12, 2007 № 1-12, 2009 № 3/5;
;;2009/10 № 1-3, 2008 №1-6;
;;Музей Московского Кремля 09.01. 22 , 17.09.21, ;
;;The art newspaper Russia 2019 №5, ;
5094;99;Академия моды 2022,окт.;Коваленко Е.И.,
;;Архитектура и время 2023 ;
;;Аксаковский дом 1998, №1(1);
;;                                    1999,№1(3);
;; Башкирский край 2023 №1     ;
;;Балтийский Бродвей 2023 №5;
;;Вестник Омской православной духовной семинарии 2020 №2;
;;Вестник 8 марта ,8 дом актера 2009 спец выпуск;
;;Вернисаж 2005 вып. 8;
;;Вернисаж 2005 вып.  9;
;;В едином строю 2022 №10;
;;Великороссъ 2023 №1;
;;Вестник МГУКИ 2023 №1;
;;Вопросы культурологии 2023 №6;
;;Вестник ВГИК 2023 №1;
;;Вестник Южно-Уральского гос-го университета 2021 т 21 №1 ;
;;Венец 1998 №2;
;;Диктатура 1999 декабрь;
;;Гуманитарные и соц-но  экономические науки 2023 №3;
;;Галерея дизайна и архитектуры 2022 №7;
;;Галерея интерьеров2023 №1;
;;Дагестан 2023 №2;
;;Дом культуры 2023 №7;
;;Дом Бурганова 2023 №3;
;;Жги 2023 №1;
;;Иностранная литература 2023 №7;
;;Интеллектуальная собственность 2023 №3;
;;Игровая библиотека 2023 33;
;;Звезда 2023 №6;
;;                       №7;
;;Живая старина 2023 №2    ;
;;Искусство для всех 2014 №1;
;;Концепт : философия, религия, культура 2023 т7 №2  ;
;;ККиномеханик 2023 №1;
;;Книжки,нотки и игрушки для Катюшки и Андрюшкии    2023 №6;
;;Культурное наследие России2022 №3;
;;                                                                  №4;
;;Кинорепартер 2023 №5;
;;Личность и культура 2023 №3;
;;Монеты Российской империи 2023 №40;
;;Музыка для всех 2022 №1;
;;Музыкантофф 2021 №1;
;;Па 1990 май;
;;Караван 2019 №11;
;;Неман 2023 №6;
;;Нижегородский 2004 №1/2;
;;Новая деревня 2006 №3;
;;Новосибирский журнал2003№6;
;;Новая литература по социальным и гуманитарным наукам.История.Археология.Этнология.2023 №6;
;;На русских просторах 2023 №2;
;;Новый мир 2023 №7;
;;Научные и технические библиотеки 2023 №6;
;;Подолье2022 №1;
;;РБК Стиль 2023  №4;
;;Реликвариум 2022  №4;
;;Роскошный дом 2014 №1;
;;                                 2015 №1;
;;Руссаград 2023 31;
;;Советский фильм 1977 №5;
;;Сказка и мир 2020 №2;
;;                           2021 №2;
;;Солнечное сплетение 2002 № 3-4;
;;                                            2003 №5-6;
;;Театральный проспект 2008 №1;
;;Словесница искусств 2006 №17;
;;Спутник кинозрителя 1976 №2;
;;Старинная музыка 2023 № 2;
;;Труды Академии технич. Эстетики и дизайна 2019 №2 ;
;;                 2020 №1;
;;Театральный сезон 2008 №11;
;;                                        2008 №11;
;;                                       2008 №10;
;;Текст. Книга. Киноиздания. 2022 № 30;
;;Теория моды 2023 №68 лето;
;;                                    №68 лето;
;;Урал 2023 №7;
;;Ученые записки 2023 №2;
;;Фольклор и антропология города 2019 №3/4;
;;Филармоник 2003 №1 ;
;;Час культуры 2023 №1 ;
;;Человек 2023 №3;
;;Экополис 2023 №24;
;;                             №25;
;;Логос 2023 т33 №2;
;;Гербовед 1993 №1;
;;                   1993 №2;
;;                    1993№1;
;;Экземпляр 2023№4;
;;Театр 1981 №7-8;
;;Жизнь искусства 1923 №26-34,36,38,40-51;
;;Наш изограф 2001 №9;
;;                                     №10;
;;                           2003 №1;
;;                                     №8;
;;                           2004 №1;
;;                           2007 №5;
;;                                   №6;
;;                                   №7;
5095;63;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Литературная газета 2023 г. №1-26;28.07.2023
;;Раннее утро 1913 июль;
;;Московский художник 1967 №6-52,;
;;1968 № 1-9-19-52, 1969 № 1-52, 1970 № январь-декабрь, 1971 январь-декабрь, 1996 № 3-16-31/32, ;
;;Музыкальный клондайк 2006 № 1-7-9, ;
;;Манеж 2008 № 1-8, 2009 №1, 2, 3, 4, 5, 6, 7, 8, 9;
;;Манеж 2005 № 1,2,3, 4, 5, 6, 7, 8;
;;Манеж в «Октябре» 2018 № 1-6, 2016 № 1-6, 2015 № 117-122, 2014 № 1-9, 2013 № 1-9, 2012 № 1-9, 2011 №1-9, 2010 № 1-8, ;
;;Империя драмы 2008 № 15, 2007 № 3,5,6, ;
;;Коммерсант Guide 2023 №10;
;;Коммерсант Стиль 2023 №13, 2022 № 27, 23, ;
;;Коммерсант Интерьеры 2023 № 11, 2022 №29, ;
;;Коммерсант Weekend 2013 № 14,17;
;;2023 № 10, 4, 2022 № 33, 45, 37, 37, ;
;;Коммерсант Подарки 2023 №2,;
;;Коммерсант Часы и украшения 2022 № 25,;
;;Культура 2023 №1-6;
;;Вестник ММКФ 1991 № 18, 19, 20, 21;
;;Играем сначала 2012 №7-8, ;
;;Искусство 2011 №11-17, 2011 № 1-3-5-10;
;;;
5096;17;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Искусство 2010 №13-24, 1-12, 2009 №13-24, 1-12, 2008 № 13-17-19-24, № 1-12, 2007 № 12-23, 2006 №13-24,  2-3-5-12, №1, 2005 № 1-24, 1-12, 2004 № 1-24, 2003 № 1-24, ;
;;Играем сначала 2018 № 1-12, 2017 №1-12, №7/8;
;;;
5097;30;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Литературная газета 2022 № ?-52;
;;СинеФантом 2018 №7-9-11-13, 2016 № 1-3-5-6-7-8-9-10, 2019 № 1, 2013 № 14, 18, 18, 2009 № 28, 2015 №№ 6-9-12-20, 2011 №24, ;
;;Империя драмы 2011 № 43-51, 2010 № 33-42, 2008 № 19-25-28-29-32, 2006 № 2, ;
;;СК новости 2004 № 14-16, 2003 № 17-18, 14, ;
;;Играем с начала 2016 № 1-6-9-12, 2015 № 2-12, 2014 №1-12, ;
;;Театральная газета 2007 № 1, ;
;;ОМС газета 2017 июнь, 2012 май, 2013 апрель;
;;Рабочий клуб 1925 №1 (конверт);
;;Российская газета Неделя 2005 № 25-30, 31-38,;
;;Российская музыкальная газета 1993 № 1-12, 1992 № 1-3-5-11,;
;;Московский художник 1977 №1-52, 1976 № 1-3-32-34-50-52-53;
;;;
5098;15;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Искусство 2002 № 1-21-24, 2001 №1-11, 12-24, 2000 № 25-48, 1-24, 1999 № 25-48, 1990 №1-24, 1998 № 25-47, ;
;;СинеФантом 2007 №33/36, 2005 № 13-14-22-31-33, 2004 № 1-5-7-11, ;
;;Играем с начала 2013 №1-13,;
;;Московский художник 1980 № 1-50, 1981 № 1-31-33-51/52,  1975 № 1-52;
5099;35;Газеты:;Евдокимова Л. В.,  Суслова Е.В.
;;Музыкальный клондайк 2019 № 1-5-6/7-12, 2018 ?-12, 1-5, 2014 № 7-10, 2;
;;The art newspaper Russia 2017 №6-10;
;;Winzavod Art Review 2011 №17-20-22-25/ 2012 №38-40, 2013 № 41-46-48-50, 2010 № 7-11-14-16;
;;Новости МСХ 2010 № 1-4-6-11, 2009 № 1-5-7-12,  2012 № 2-9, 2011 №1-10-12;
;;Наш изограф 2001 № 10, 2002 №6, 2003 № 1, 8, 2004 № 3, 2007 № 7, 2012 № 1, 5, 2013 №3;
;;НИКА 2004 № 17,;
;;Коммерсант Подарки 2023 № 47, ;
;;Коммерсант Украшения 2022 № 2236;
;;Мятеж Ленинград 1933  23.03;
;;Доходное место Лениград 1933 1№;
;;Музыкальный Клондайк 2017 №3-12;
;;2016 № 1-12, 2015 № 1-11,1-12, 2014 №7-12, 7-12, 1-7, 1-7;
5161;16;Газеты:;Суслова Е.В. Шейнин М.Ю.
;;Эхо сезона 1901г. №1-36, Рабочий и искусство, 1929-1930г. (папка), Искусство коммуны, 1918-1919 (папка), Московский художник 1973г. №1-51, Другой театр 2010г. №1-2, Московский художник 1960г. №1-24, Московский художник 1962г. №1-13, Московский художник 1961г. №1-19,;29.07.2023
;;Московский литератор 1957г. (подшивка) №1-16,18-21, Московский литератор 1956г. (подшивка) №1-5, Московский литератор 1959г. (подшивка) №1-28, 30-49. Литература и жизнь 1959г. (подшивка) 78-154. Литература и жизнь 1958г. (подшивка) 1-116. Литература и жизнь 1959г. (подшивка) 1-77. Музыкальный клондайк 2012г. №8,  Музыкальный клондайк 2013г. (подшивка) №5-11,  ;
5162;19;Газеты:;Суслова Е.В. Шейнин М.Ю.
;;Литература и жизнь 1962г. (подшивка) 77-155. ;
;;Московский литератор 1960г. (подшивка) №1-46. ;
;;"Советская культура 1967г. июль-декабрь. Московский литератор 1961г. (подшивка) №1-46; 1962г. (подшивка) №1-26, 28-46. Музыкальная газета 2002г. (подшивка) ? -36.  Музыкальный клондайк 2005г. (подшивка) №1,2,4-12.";
;;Супремус 1992 № 1, 1993 № 2, 1994 № 3, 1995 № 4, 1998 № 5;
;;"Московский художник 2003 № 1-6, 2014 № 1-10, 2004 № 5-12, 2005 № 1-4,6-12; 2006 № 1-6, 11-12; 2007 № 1-11/12";
5163;19;Газеты:;Суслова Е.В., Евдокимова Л.В. 
;;Московский художник 2008 № ?-11/12, 2009 №1/2 -11/12, 2010 № ? - 6, 7-12, 2011 № 1-12, 2012 № 1-12, 10-12, ;
;;2013 № ?, ?/ 2014 ?, 5/7-8/10;
;;ЛГ досье 1993 № 1-12, ;
;;Музыкальный клондайк 2012 № 8-12, 1-7, ;
;;2010 № 1-3, ;
;;Московский художник 1972 № февраль-декабрь, 1974 № 1-50, 1995 № 1-30, ;
;;Литература и искусство 1944 № 1-44, ;
;;Сине Фантом 2010 № 11-14-18-19-20/ 2012 № 11/ 2013№6;
;;Манеж 2002 № 1-8, ;
;;The art newspaper Russia 2015 № 6-10, ;
;;Новости Мосфильма 1991 № 5-42, ;
;;;
5164;65;Cотбис;Суслова Е.В., Евдокимова Л.В.
;;1999 № 059436;
;;2000 № 059465;
;;1999 № 060522;
;;2000 № 060566;
;;2001 № 059326;
;;2000 № 060541;
;;2004 № 044758;
;;2005 № 045777;
;;2006 № 046933;
;;1999 № 060820;
;;2000 № 060280;
;;1993 № 040601;
;;1998 № 059022;
;;1999 № 060576;
;;1999 № 060258;
;;1999 № 060307;
;;1999 № 061090;
;;2000 № 059417;
;;2000 № 059609;
;;2000 №060524;
;;2001 № 060171;
;;2001 № 059041;
;;2000 № 060247;
;;2004 № 052601;
;;2005 № 045738;
;;2006 № 046944;
;;2000 № 060523;
;;2000 № 059506;
;;1999 № 060284;
;;1999 № 060116;
;;2007 № 047193;
;;2007 № 047194;
;;2004 № 043697;
;;2005 № 045505;
;;2005 № 045765;
;;1998 № 060901;
;;1999 № 060313;
;;2000 № 060615;
;;2001 № 060166;
;;2005 № 045514;
;;2007 № 047295;
;;1999 № 060483;
;;1998 № 060571;
;;2009 № 052140;
;;1998 № 060780 ;
;;1999 № 060908;
;;1999 № 060750;
;;1999 № 060154;
;;2000 № 059422;
;;2005 № 045789;
;;2006 № 046165;
;;1999 № 060041;
;;2007 № 047167;
;;2007 № 047150;
;;2007 № 047149;
;;2008 № 048898;
;;2008 № 048897;
;;2009 № 052386;
;;2009 № 052387;
;;2009 № 052705;
;;2009 № 052406;
;;2008 № 048883;
;;2007 № 047180;
;;2007 № 047177;
;;2008 № 060184;
;;;
;;;
5165;56;Cотбис;Суслова Е.В., Евдокимова Л.В.
;;2010 № 052623;
;;2009 № 052128;
;;2009 № 052404;
;;2009 № 052389;
;;2008 № 052376;
;;2008 № 052375;
;;2000 № 059072;
;;2007 № 047257;
;;2007 № 047248;
;;1998 № 060046;
;;2006 № 052611;
;;2006 № 046175;
;;2000 № 060506;
;;2009 № 052388;
;;2009 № 052407;
;;1998 № 059531;
;;1999 № 059423;
;;1999 № 060118;
;;2000 № 060617;
;;2000 № 060830;
;;2000 № 060288;
;;2001 № 059290;
;;2001 № 060816;
;;2004 № 043687;
;;2006 № 046174;
;;2006 № 046173;
;;2005 № 045758;
;;2005 № 045518;
;;2004 № 046147;
;;2006 № 046168;
;;2005 № 045757;
;;2005 № 045710;
;;2004 № 043671;
;;2009 № 052133;
;;2010 № 052624;
;;2007 № 047156;
;;2001 № 060943;
;;2008 № 048808;
;;2008 № 048804;
;;2006 № 046950;
;;2006 № 046906;
;;2001 № 061066;
;;2000 № 060500;
;;2000 № 059310;
;;1999 № 058984;
;;1999 № 060127;
;;1998 № 058988;
;;2004 № 044657;
;;2004 № 043657;
;;2001 № 060352;
;;2007 № 047285;
;;2006 № 046164;
;;2006 № 045919;
;;2005 № 045608;
;;2005 № 045492;
;;2007 № 047287;
;;;
5166;51;Cотбис;Суслова Е.В., Евдокимова Л.В.
;;2008 № 048838;
;;2009 № 052129;
;;2008 № 048839;
;;2009 № 052131;
;;2000 № 060271;
;;2001 № 060272;
;;1999 № 060801;
;;2010 № 052130;
;;2008 № 048109;
;;2000 № 059325;
;;1998 № 060775;
;;2016 № 056355;
;;2010 № 052618;
;;1999 № 060360;
;;1998 № 059419;
;;1998 № 059386;
;;2000 № 060614;
;;2005 № 045598;
;;2006 № 045922;
;;2001 № 060528;
;;2010 № 052190;
;;2000 № 061133;
;;1999 № 061077;
;;2000 № 059289;
;;1999 № 060562;
;;2001 № 059291;
;;2000 № 060279;
;;2001 № 060593;
;;2001 № 061105;
;;2006 № 046161;
;;2008 № 048799;
;;2008 № 048800;
;;2004 № 043643;
;;2001 № 060185;
;;2001 № 060498;
;;2001 № 060831;
;;2005 № 045769;
;;2007 № 047218;
;;2004 № 045382;
;;2005 № 045530;
;;2006 № 046901;
;;2006 № 045940;
;;2005 № 045736;
;;2004 № 043679;
;;2006 № 045751;
;;1999 № 060809;
;;1999 № 060197;
;;2009 № 052182;
;;1998 № 060140;
;;2007 № 047174;
;;2006 № 045934;
5167;59;Cотбис;Суслова Е.В., Евдокимова Л.В.
;;1986 № 161257;
;;1999 № 059415;
;;1999 № 058999;
;;1999 № 060768;
;;2004 № 043682;
;;1993 № 054615;
;;2007 № 047289;
;;2000 № 060925;
;;2000 № 060867;
;;2001 № 059610;
;;2000 № 060846;
;;2006 № 046923;
;;2009 № 052371;
;;2000 № 060151;
;;2000 № 060797;
;;2006 № 046934;
;;2005 № 045501;
;;2004 № 043524;
;;1999 № 060904;
;;1998 № 060906;
;;2009 № 052363;
;;2007 № 047293;
;;2001 № 060865;
;;2000 № 059459;
;;2000 № 059458;
;;2000 № 059318;
;;1999 № 060525;
;;2001 № 061116;
;;2001 № 061125;
;;2005 № 045509;
;;2004 № 043710;
;;2006 № 046943;
;;2007 № 047294;
;;2006 № 046911;
;;1999 № 060568;
;;1998 № 059344;
;;1999 № 060781;
;;2010 № 052597;
;;2016 № 056354;
;;1999 № 060244;
;;1999 № 060868;
;;1993 № 040421;
;;2001 № 060260;
;;2000 № 059401;
;;2000 № 060567;
;;1999 № 059538;
;;2000 № 060575;
;;2001 № 060134;
;;2000 № 059322;
;;1999 № 060042;
;;1993 № 040447;
;;2009 № 053574;
;;2006 № 052607;
;;2004 № 052606;
;;2006 № 046899;
;;2001 № 060100;
;;2006 № 045972;
;;2005 № 045591;
;;2006 № 046139;
;;;
5168;49;Cотбис;Суслова Е.В., Евдокимова Л.В.
;;2005 № 045779;
;;2004 № 043655;
;;2005 № 045734;
;;2007 № 047292;
;;2004 № 045400;
;;2010 № 052620;
;;2005 № 045767;
;;1999 № 060842;
;;2006 № 046904;
;;2006 № 046903;
;;2004 № 044634;
;;2006 № 046913;
;;2005 № 045504;
;;2005 № 045503;
;;2008 № 048803;
;;1999 № 060829;
;;2008 № 048819;
;;1999 № 060503;
;;2005 № 045756;
;;2004 № 044629;
;;2001 № 059297;
;;2008 № 048880;
;;1999 № 059437;
;;2000 № 060115;
;;2000 № 060520;
;;2001 № 059324;
;;2005 № 045716;
;;2000 № 060798;
;;2007 № 047313;
;;2004 № 044661;
;;2004 № 045397;
;;2016 № 056351;
;;1993 № 041722;
;;2007 № 047314;
;;2005 № 045493;
;;1999 № 060287;
;;1998 № 060039;
;;1994 № 041724;
;;1999 № 060748;
;;2000 № 059420;
;;1999 № 060319;
;;1992 № 040284;
;;1992 № 040285;
;;1993 № 040594;
;;1993 № 040592;
;;1998 № 061064;
;;1998 № 058998;
;;1999 № 059456;
;;1999 № 060755;
;;;
5169;50;Сотбис;Суслова Е.В., Евдокимова Л.В.
;;1999 № 060939;
;;1999 № 060054;
;;1998 № 060921;
;;1998 № 060941;
;;1998 № 059541;
;;1999 № 059457;
;;2000 № 059604;
;;2000 № 060071;
;;2000 № 060754;
;;1999 № 059351;
;;1999 № 059058;
;;1999 № 059057;
;;1999 № 060065;
;;2001 № 060892;
;;2000 № 061117;
;;2000 № 060188;
;;2000 № 060515;
;;2000 № 061081;
;;2000 № 060189;
;;2001 № 060942;
;;2001 № 060180;
;;2001 № 059298;
;;2001 № 060066;
;;2001 № 059064;
;;2004 № 043620;
;;2004 № 043615;
;;2001 № 060766;
;;2001 № 060767;
;;2001 № 060583;
;;2002 № 060896;
;;2001 № 060573;
;;2001 № 060331;
;;2004 № 043690;
;;2004 № 043695;
;;2004 № 043659;
;;2004 № 043660;
;;2004 № 043658;
;;2004 № 043619;
;;2005 № 045705;
;;2004 № 044635;
;;2004 № 044628;
;;2004 № 044636;
;;2004 № 044637;
;;2004 № 043696;
;;2005 № 045692;
;;2005 № 045704;
;;2005 № 045703;
;;2005 № 045521;
;;2005 № 045520;
;;2005 № 045626;
5170;34;Сотбис;Суслова Е.В., Евдокимова Л.В.
;;2006 № 046169 с прилож.;
;;2006 № 045926;
;;2005 № 045627;
;;2006 № 045925;
;;2005 № 045615;
;;2005 № 045594;
;;2004 № 045954;
